modelName,ExcludedBy
100008899,
100008934,
100011941,
100017999,
100018878,
100029771,0;16;18
100030028,0;4;11;18
100036184,0;1;5;20
100042885,0;1;5;12
100043096,0;1
100050341,
100053663,0;1;5
100057332,
100058435,
100063421,0;1;5
100077029,
100082452,0;1;5;12
100087980,
100094639,
100100172,
100104814,
100106729,
100107427,
100118386,
100126195,
100128573,
100130547,0;22
100133267,
100137160,
100138720,0;1
100142976,
100143924,
100145187,
100145581,0;1
100145605,
100148114,0;1;2;3;4;6;7;8;9;13;14
100149645,
100152331,0;1;18;19
100162386,
100164433,0;1;5
100164472,
100164778,0;1
100165786,
100167868,
100195726,
100197349,0;1
100200714,
100209118,
100214285,0;1
100221001,0;1;5;12
100221164,
100222486,
100233658,
100234322,
100247010,0;1
100248319,
100254446,
100254492,0;1;3;4;20
100263287,0;1
100277203,
100277677,0;1;5;12
100280355,
100281133,0;1;5
100282068,0;1;8
100291514,0;1;5;12
100297963,
100298802,0;1;2;5;8;12
100307276,0;1;3;8;10
100308085,
100312876,0;1;2;3;4;5;6;7;8;9;14;18;19
100315934,
100316373,
100324592,0;1
100325684,0;1;5;12
100329180,
100329844,
100333998,
100338249,
100338791,0;1;5;12
100340844,0;1;2;5;12
100344761,
100353223,
100359642,
100360392,0;1
100360624,0;1;5;12;16;18
100367047,
100369152,
100376170,
100377801,
100379469,0;1
100388712,0;1;3;5;8;10;12
100397772,
100397861,
100397868,
100410769,
100422815,
100426519,0;1;5;12
100428684,0;1
100430419,
100439475,
100443883,0;1;5
100444382,
100445428,
100454137,0;22
100456617,0;1
100476591,0;1
100478308,
100488230,0;1;4
100495054,
100502127,0;1
100513370,
100515403,0;1;5
100518105,0;1
100521601,
100527265,
100535040,
100535118,
100541314,0;1
100546617,
100551225,
100551747,
100554655,
100556192,0;1;2;3;4;5;6;7;8;9;11;12;16;17;18
100559571,
100559821,0;1;4;8
100568403,
100577596,
100584117,
100590195,0;1
100593542,0;1;3
100603794,
100604187,
100605746,
100617242,0;1;8;10
100620961,
100623763,0;1
100626563,
100636577,0;8;10
100639812,
100641321,0;1
100642000,0;1
100645615,
100645828,
100652347,
100652578,
100655533,
100656999,
100660053,0;1;3;5;8
100660594,
100666902,0;1
100668999,0;1;5
100670348,
100675553,
100682232,0;1
100682690,
100693232,0;1
100694751,0;1;5;8;12
100696665,
100701388,0;1;5;12
100701442,
100702461,
100708474,0;1;5;12
100718060,0;1
100719526,
100720594,
100720928,0;1
100727093,0;1
100728780,0;1;5;12
100732801,0;1;2;3;4;6;8;9
100740956,0;1;5;12
100749440,
100749579,
100751938,
100753423,
100756219,
100768976,
100770059,0;22
100784390,
100790836,
100791124,
100806292,
100810504,
100814546,
100825620,0;1
100849815,
100854108,0;1
100863424,
100868271,0;1;2;4;5;12
100876398,
100877491,
100878373,0;1
100894701,0;20
100898598,
100904598,0;1;2;3;4;6;8;9;13;14
100906930,0;1;2;3;4;6;8;9;13
100911828,
100912543,
100918575,0;1
100919977,
100927290,0;1
100934301,0;1;5;12
100934639,0;1;5;12
100934837,0;1;8;10
100948869,
