
SuperIso v3.6 - F. Mahmoudi

SLHA input file

Observable			Value

BR(b->s gamma)			3.447e-04
delta0(B->K* gamma)		5.427e-02

BR(Bs->mu mu)			3.314e-09
BR(Bs->mu mu)_untag		3.634e-09
BR(Bd->mu mu)			1.078e-10

BR(B->K* mu mu)_low		2.265e-07
AFB(B->K* mu mu)_low		-7.819e-03
FL(B->K* mu mu)_low		7.579e-01
AI(B->K* mu mu)_low		-2.697e-02

q0^2(AFB(B->K* mu mu))		3.641e+00
q0^2(AI(B->K* mu mu))		1.732e+00

BR(B->K* mu mu)_high		1.178e-07
AFB(B->K* mu mu)_high		4.195e-01
FL(B->K* mu mu)_high		3.514e-01
AI(B->K* mu mu)_high		-4.664e-05

BR(B->Xs mu mu)_low		1.660e-06
BR(B->Xs mu mu)_high		2.320e-07
q0^2(AFB(B->Xs mu mu)		3.467e+00
BR(B->Xs tau tau)_high		1.646e-07

BR(B->tau nu)			8.119e-05
R(B->tau nu)			9.917e-01

BR(B->D tau nu)			6.943e-03
AFB(B->D tau nu)		3.595e-01
Ptau(B->D tau nu)		3.252e-01
BR(B->D tau nu)/BR(B->D e nu)	3.071e-01

BR(B->D* tau nu)		1.365e-02
AFB(B->D* tau nu)		-5.683e-02
Ptau(B->D* tau nu)		-4.892e-01
PD*(B->D* tau nu)		4.644e-01
BR(B->D* tau nu)/BR(B->D* e nu)	2.476e-01

BR(Ds->tau nu)			5.125e-02
BR(Ds->mu nu)			5.261e-03
BR(D->mu nu)			4.090e-04
BR(K->mu nu)/BR(pi->mu nu)	6.336e-01
Rmu23(K->mu nu)			1.000e+00

a_muon				-3.632e-11

excluded_Higgs_mass		0
excluded_SUSY_mass		0
charged_LSP			0

output.flha generated

